Departmets|Groups|Job Type|Marital Status|Age|Business Unit|Hire Date|Emp.Type|Sick Days|Balance Days|Years in current role|Years since last promition|Education|Job Involvement|Job Satisfaction|Performance Rating|Relationship Satisfaction|WorkLife Balance|Last Name|Gender|Salary|Job Classification
Tech Support|Group D|Full Time|Single|24|New York City|05/22/2016|Active|2|19|3 Years|2 Years|Doctor|Low|Low|Outstanding|Medium|Good|Luna|Female|113237|Other
Quality Assurance|Group C|Full Time|Married|41|New York City|05/23/2018|Non Active|2|20|3 Years|3 Years|College|High|Low|Outstanding|Medium|Better|Wiggins|Male|111874|White Collar
Payroll|Group C|Full Time|Married|61|Seattle|08/27/2014|Non Active|3|11|2 Years|3 Years|Doctor|Medium|Medium|Low|Medium|Good|Castaneda|Female|92645|Other
Advertising|Group D|Full Time|Married|60|New York City|12/03/2016|Active|9|7|3 Years|1 Year|Bachelor|Low|High|Good|High|Good|Briggs|Female|97756|White Collar
Media Relations|Group B|Full Time|Divorced|64|New York City|05/05/2018|Active|8|7|1 Year|3 Years|Masters|Very High|High|Low|High|Good|Battle|Female|116647|White Collar
Customer Relations|Group C|Full Time|Single|55|Houston|09/11/2016|Active|7|5|2 Years|3 Years|College|Low|Very High|Outstanding|Very High|Bad|West|Female|93947|Other
Customer Relations|Group C|Full Time|Single|29|Los Angeles|09/03/2014|Non Active|12|11|2 Years|1 Year|Bachelor|Medium|Low|Low|High|Good|Hunter|Male|70223|Blue Collar
Accounting|Group B|Full Time|Divorced|29|Los Angeles|04/30/2016|Active|5|12|2 Years|2 Years|College|High|High|Excellent|Medium|Better|Fischer|Female|119186|Blue Collar
Public Relations|Group D|Full Time|Single|52|Seattle|08/18/2018|Non Active|12|15|3 Years|2 Years|Masters|High|Very High|Low|Very High|Bad|Burns|Female|82059|Blue Collar
Public Relations|Group A|Full Time|Single|50|Houston|02/06/2018|Active|8|14|3 Years|3 Years|College|High|High|Low|Medium|Better|Cameron|Female|73501|White Collar
Customer Relations|Group B|Part Time|Divorced|54|Los Angeles|11/05/2013|Non Active|3|12|1 Year|1 Year|College|Low|Medium|Excellent|High|Better|Deleon|Male|113676|Other
Media Relations|Group C|Full Time|Divorced|47|New York City|01/03/2018|Non Active|9|20|3 Years|1 Year|College|Low|High|Outstanding|Very High|Bad|Fleming|Male|88138|Other
Research and Development|Group B|Full Time|Single|62|Los Angeles|05/17/2018|Non Active|6|7|1 Year|2 Years|Doctor|High|Very High|Low|Very High|Bad|Pittman|Male|72825|Blue Collar
Accounting|Group C|Full Time|Married|49|Los Angeles|08/25/2017|Active|2|18|1 Year|3 Years|Masters|High|Medium|Excellent|High|Bad|Buchanan|Male|103311|Other
Customer Relations|Group A|Full Time|Divorced|60|Los Angeles|03/16/2013|Non Active|4|10|1 Year|2 Years|Bachelor|Medium|Low|Low|High|Good|Henry|Female|80538|Other
Human Resources|Group B|Part Time|Single|33|Seattle|03/14/2014|Non Active|7|8|1 Year|2 Years|Doctor|High|Very High|Low|Very High|Good|Barry|Female|106830|Other
Media Relations|Group B|Part Time|Married|38|New York City|10/29/2014|Active|10|15|1 Year|1 Year|Bachelor|Medium|Low|Good|Medium|Better|Cobb|Male|84339|Blue Collar
Customer Relations|Group C|Part Time|Married|45|Houston|06/17/2016|Active|7|6|2 Years|1 Year|College|Medium|High|Outstanding|Low|Best|Richard|Female|115358|White Collar
Quality Assurance|Group C|Part Time|Divorced|29|Houston|06/07/2016|Non Active|11|10|2 Years|1 Year|College|Very High|High|Good|High|Good|Roach|Male|74748|Blue Collar
Public Relations|Group A|Part Time|Married|53|Houston|09/23/2014|Non Active|5|8|3 Years|2 Years|College|Medium|Medium|Excellent|Medium|Better|Wolf|Female|99908|White Collar
Human Resources|Group B|Full Time|Married|56|Seattle|06/07/2016|Non Active|9|12|1 Year|2 Years|Masters|Low|Low|Low|Very High|Better|Travis|Female|102629|Blue Collar
Media Relations|Group A|Full Time|Married|47|Los Angeles|11/14/2018|Active|6|13|2 Years|1 Year|Bachelor|Medium|High|Good|Very High|Best|Bradford|Female|73232|Other
Media Relations|Group B|Full Time|Single|54|New York City|10/18/2013|Non Active|10|10|2 Years|2 Years|Bachelor|Low|Medium|Good|Very High|Good|Mcgee|Male|109471|White Collar
Advertising|Group A|Part Time|Married|60|Houston|04/08/2013|Non Active|11|17|3 Years|3 Years|College|Medium|Medium|Excellent|Very High|Best|Whitehead|Male|119560|White Collar
Advertising|Group B|Full Time|Single|33|Los Angeles|03/19/2015|Non Active|1|7|3 Years|2 Years|Bachelor|Medium|Very High|Low|Low|Good|Lopez|Female|110179|White Collar
Customer Relations|Group D|Full Time|Married|37|Houston|04/21/2017|Non Active|6|9|1 Year|1 Year|Bachelor|Very High|High|Low|Medium|Better|Kim|Male|95528|White Collar
Accounting|Group A|Full Time|Married|32|New York City|08/06/2013|Non Active|5|11|1 Year|3 Years|Bachelor|High|Medium|Excellent|Very High|Best|Oneal|Male|119080|White Collar
Legal Department|Group C|Full Time|Single|30|Los Angeles|06/04/2015|Non Active|8|18|2 Years|1 Year|Doctor|Low|Medium|Outstanding|Low|Good|Hogan|Female|97993|Blue Collar
Advertising|Group A|Full Time|Divorced|46|Seattle|06/04/2016|Active|9|10|3 Years|2 Years|Masters|Medium|Very High|Excellent|Medium|Best|Velasquez|Female|76656|Other
Finances|Group A|Full Time|Single|52|Houston|04/21/2015|Non Active|4|11|3 Years|1 Year|College|Medium|Low|Good|High|Best|Pope|Male|91041|Other
Asset Management|Group A|Part Time|Single|52|Los Angeles|09/28/2018|Active|5|20|2 Years|2 Years|College|Low|Very High|Outstanding|Medium|Better|Roman|Female|115076|Blue Collar
Payroll|Group A|Full Time|Married|26|New York City|08/21/2017|Active|9|16|1 Year|3 Years|Doctor|Medium|High|Low|High|Better|Duncan|Female|108093|Blue Collar
Accounting|Group B|Full Time|Single|50|Los Angeles|01/04/2017|Active|2|12|3 Years|2 Years|College|Medium|Low|Good|Very High|Bad|Griffith|Male|76378|White Collar
Accounting|Group A|Full Time|Divorced|50|Houston|12/20/2016|Non Active|11|15|2 Years|2 Years|College|Very High|Very High|Outstanding|Low|Bad|Barrett|Male|108452|White Collar
Finances|Group A|Part Time|Married|58|Los Angeles|07/06/2015|Non Active|4|19|1 Year|2 Years|Doctor|Medium|High|Good|Medium|Better|Mullins|Female|73555|Blue Collar
Quality Assurance|Group C|Part Time|Single|40|Los Angeles|05/07/2018|Active|6|20|3 Years|3 Years|Doctor|Medium|High|Good|High|Bad|Franklin|Male|95093|Other
Accounting|Group D|Full Time|Single|45|New York City|10/16/2013|Active|2|14|1 Year|3 Years|College|Very High|Medium|Low|Medium|Best|Gilliam|Female|89184|White Collar
Legal Department|Group A|Part Time|Married|36|New York City|02/24/2017|Active|9|8|3 Years|3 Years|Masters|High|Very High|Excellent|Low|Better|Mayer|Female|83769|Other
Customer Service|Group A|Full Time|Married|32|Seattle|08/12/2015|Active|3|17|3 Years|2 Years|Bachelor|Very High|Low|Excellent|Very High|Good|Day|Female|79575|White Collar
Customer Relations|Group D|Full Time|Single|59|Los Angeles|03/08/2014|Non Active|7|18|2 Years|2 Years|Bachelor|Very High|Low|Excellent|High|Good|Glenn|Male|77117|Other
Customer Relations|Group B|Full Time|Married|49|Los Angeles|08/28/2016|Non Active|3|14|2 Years|2 Years|Bachelor|High|Very High|Outstanding|Medium|Better|Salinas|Female|112813|White Collar
Customer Relations|Group A|Part Time|Divorced|52|New York City|08/21/2016|Non Active|9|5|3 Years|3 Years|Doctor|High|Low|Excellent|High|Better|Mcgee|Female|116513|Other
Finances|Group D|Full Time|Married|62|Los Angeles|03/23/2016|Active|9|9|3 Years|3 Years|College|High|High|Low|Very High|Bad|Walters|Male|107678|Blue Collar
Research and Development|Group C|Part Time|Divorced|59|Los Angeles|11/30/2014|Active|10|15|2 Years|1 Year|Doctor|Low|High|Outstanding|High|Good|Frye|Female|118450|White Collar
Legal Department|Group A|Full Time|Single|45|Seattle|08/17/2015|Non Active|1|6|2 Years|3 Years|Masters|Very High|Low|Good|Low|Better|Sutton|Female|99851|Other
Legal Department|Group A|Part Time|Divorced|52|Seattle|06/17/2014|Active|4|14|2 Years|2 Years|Doctor|Very High|High|Good|High|Better|Conway|Female|119541|Blue Collar
Sales and Marketing|Group B|Part Time|Single|24|Los Angeles|11/25/2014|Active|1|16|1 Year|3 Years|Bachelor|Medium|Low|Low|Low|Best|Dixon|Male|89040|Other
Sales and Marketing|Group A|Part Time|Married|41|New York City|08/05/2018|Active|8|6|2 Years|3 Years|Masters|High|High|Good|Very High|Good|Duke|Female|105288|Blue Collar
Advertising|Group D|Full Time|Married|53|Houston|11/07/2015|Active|9|6|3 Years|3 Years|Bachelor|High|Very High|Good|Medium|Better|Castillo|Female|78627|Blue Collar
Advertising|Group C|Part Time|Married|56|New York City|07/27/2018|Active|12|8|1 Year|3 Years|College|High|Medium|Good|High|Good|Patton|Male|80152|Other
Legal Department|Group B|Part Time|Married|42|New York City|07/11/2014|Active|2|13|3 Years|1 Year|Doctor|Medium|Medium|Good|Low|Bad|Shepherd|Male|96028|Blue Collar
Tech Support|Group C|Part Time|Married|39|Houston|08/15/2015|Active|9|10|3 Years|2 Years|College|Medium|Low|Good|Low|Good|Underwood|Female|115369|Other
Quality Assurance|Group B|Full Time|Divorced|35|Los Angeles|11/05/2013|Non Active|9|18|1 Year|3 Years|Masters|Low|Low|Excellent|Very High|Good|Sandoval|Female|85548|Other
Research and Development|Group C|Part Time|Single|38|Seattle|07/28/2016|Non Active|5|7|2 Years|2 Years|Doctor|Medium|Low|Good|Medium|Good|Swanson|Male|70730|Blue Collar
Research and Development|Group A|Full Time|Divorced|24|Seattle|03/10/2014|Non Active|3|14|1 Year|1 Year|Bachelor|Very High|Low|Low|High|Bad|Prince|Male|89529|Blue Collar
Tech Support|Group B|Part Time|Divorced|63|Houston|11/30/2015|Non Active|1|19|1 Year|3 Years|Doctor|Very High|High|Excellent|Very High|Better|Cohen|Female|88394|Blue Collar
Human Resources|Group D|Full Time|Divorced|44|Seattle|07/24/2014|Non Active|5|10|2 Years|1 Year|College|Very High|High|Excellent|Low|Better|Daniels|Female|92367|Other
Asset Management|Group B|Part Time|Single|43|Houston|03/07/2013|Active|12|17|1 Year|3 Years|College|High|Medium|Excellent|Medium|Best|Conway|Male|116532|Other
Advertising|Group B|Full Time|Single|49|Seattle|04/01/2017|Active|2|13|1 Year|3 Years|Masters|Medium|High|Low|Very High|Better|Bryan|Male|85948|White Collar
Legal Department|Group C|Part Time|Divorced|35|Houston|08/31/2018|Active|7|20|1 Year|2 Years|College|High|Low|Excellent|High|Good|Beasley|Male|116087|White Collar
Research and Development|Group C|Full Time|Married|45|Houston|07/09/2017|Non Active|7|11|1 Year|2 Years|Doctor|High|Low|Good|High|Bad|Bass|Female|98501|Blue Collar
Advertising|Group C|Part Time|Divorced|57|Houston|08/06/2018|Non Active|11|16|2 Years|2 Years|Doctor|Low|High|Outstanding|High|Better|Bartlett|Male|78545|Other
Public Relations|Group D|Part Time|Single|55|Los Angeles|06/25/2018|Non Active|11|5|1 Year|2 Years|Bachelor|Medium|Medium|Excellent|Low|Best|Ferrell|Male|97603|Other
Asset Management|Group C|Part Time|Single|33|Seattle|05/01/2017|Non Active|2|19|3 Years|1 Year|Doctor|Medium|Very High|Good|Low|Bad|Velazquez|Male|89763|Other
Customer Service|Group D|Full Time|Single|39|New York City|03/23/2013|Non Active|3|10|1 Year|1 Year|Bachelor|High|High|Good|Low|Bad|Camacho|Male|113221|Other
Accounting|Group C|Part Time|Divorced|42|Houston|12/28/2018|Active|10|9|2 Years|1 Year|Bachelor|High|High|Good|High|Bad|Estrada|Female|81578|Other
Tech Support|Group B|Part Time|Single|49|Houston|05/02/2013|Non Active|4|8|1 Year|2 Years|Masters|High|Low|Good|High|Best|Snider|Female|117631|Other
Legal Department|Group D|Part Time|Divorced|34|Los Angeles|09/28/2013|Non Active|1|11|1 Year|1 Year|Doctor|Low|Medium|Good|Low|Best|Buck|Male|75874|White Collar
Research and Development|Group A|Full Time|Divorced|46|Los Angeles|07/18/2016|Non Active|3|12|2 Years|3 Years|Doctor|Medium|High|Excellent|Very High|Bad|Sutton|Female|73682|Blue Collar
Finances|Group D|Full Time|Single|58|Seattle|09/04/2018|Non Active|5|5|1 Year|2 Years|Masters|High|Medium|Excellent|High|Best|Boone|Female|102922|Blue Collar
Quality Assurance|Group A|Full Time|Married|36|New York City|02/03/2016|Active|12|10|2 Years|3 Years|Masters|High|High|Excellent|Very High|Bad|Case|Male|100733|Blue Collar
Public Relations|Group B|Full Time|Married|44|New York City|06/23/2015|Active|12|16|3 Years|1 Year|Doctor|Medium|Medium|Low|Medium|Better|Fitzpatrick|Female|115936|Other
Customer Service|Group C|Full Time|Single|54|Los Angeles|03/18/2013|Active|12|9|1 Year|2 Years|Bachelor|Low|Low|Excellent|Low|Better|Holmes|Female|71769|White Collar
Research and Development|Group D|Full Time|Divorced|42|Los Angeles|06/09/2018|Non Active|5|18|1 Year|1 Year|Masters|Very High|High|Good|Medium|Better|Oneil|Male|76683|White Collar
Human Resources|Group B|Part Time|Married|30|New York City|11/10/2013|Non Active|7|10|2 Years|1 Year|Doctor|Very High|Medium|Outstanding|Low|Best|Mays|Male|108843|Other
Accounting|Group B|Part Time|Divorced|25|Houston|07/09/2014|Active|1|15|1 Year|2 Years|Bachelor|Very High|Low|Outstanding|High|Bad|Mcintosh|Female|92103|Other
Customer Relations|Group D|Part Time|Divorced|45|Los Angeles|01/26/2016|Active|8|6|3 Years|3 Years|College|Very High|Medium|Good|High|Best|Parks|Female|109241|White Collar
Media Relations|Group C|Part Time|Married|56|Seattle|10/10/2015|Non Active|4|18|3 Years|3 Years|Masters|Very High|High|Low|Low|Bad|Hutchinson|Female|98618|Other
Finances|Group D|Full Time|Single|26|Seattle|12/09/2017|Active|9|16|2 Years|1 Year|Doctor|Low|Medium|Good|Low|Bad|Mathews|Female|72800|Other
Human Resources|Group C|Full Time|Single|30|Houston|06/28/2014|Non Active|3|9|2 Years|2 Years|Masters|Very High|High|Good|Medium|Best|Mcdaniel|Female|99710|White Collar
Accounting|Group C|Full Time|Divorced|58|Houston|06/16/2015|Non Active|1|20|1 Year|3 Years|Doctor|Low|Very High|Low|Medium|Bad|Mayo|Male|88076|White Collar
Asset Management|Group C|Full Time|Divorced|62|Seattle|02/06/2017|Non Active|2|13|1 Year|3 Years|Masters|Low|Low|Low|Low|Bad|Dickson|Male|83415|Blue Collar
Research and Development|Group B|Part Time|Married|52|Los Angeles|03/04/2018|Active|9|13|3 Years|2 Years|Bachelor|Low|Medium|Good|Low|Good|Woodard|Male|108980|Other
Finances|Group D|Full Time|Single|43|New York City|06/11/2014|Non Active|10|10|3 Years|1 Year|Doctor|Low|Very High|Outstanding|Very High|Good|Barry|Male|103683|White Collar
Human Resources|Group A|Part Time|Married|28|Los Angeles|08/04/2016|Non Active|3|18|1 Year|3 Years|Masters|Very High|Medium|Excellent|High|Best|Murphy|Female|117033|Other
Finances|Group C|Full Time|Single|47|Seattle|06/15/2017|Active|5|11|2 Years|1 Year|Bachelor|High|Medium|Good|Very High|Best|Wall|Female|72675|Blue Collar
Payroll|Group D|Part Time|Single|39|Houston|09/06/2014|Active|12|9|2 Years|1 Year|Masters|Medium|Low|Excellent|Medium|Best|Clay|Female|81312|Blue Collar
Asset Management|Group A|Full Time|Married|38|Seattle|08/01/2015|Active|9|11|2 Years|2 Years|Bachelor|Very High|Very High|Excellent|Low|Best|Hinton|Male|99736|White Collar
Payroll|Group B|Part Time|Married|56|Houston|05/19/2016|Active|3|16|3 Years|1 Year|Bachelor|Very High|Very High|Outstanding|High|Better|Duffy|Female|102431|Other
Customer Service|Group C|Full Time|Divorced|33|Los Angeles|09/28/2014|Active|4|11|1 Year|2 Years|Doctor|High|Very High|Excellent|Medium|Best|Nguyen|Female|113860|White Collar
Public Relations|Group C|Part Time|Single|53|Houston|12/31/2015|Active|6|9|2 Years|3 Years|Doctor|Very High|Very High|Outstanding|High|Better|Wilkerson|Male|97111|Other
Customer Relations|Group D|Full Time|Married|33|Los Angeles|04/19/2015|Non Active|4|17|1 Year|1 Year|Masters|Very High|High|Good|Low|Good|Faulkner|Male|80132|Blue Collar
Legal Department|Group D|Part Time|Married|46|Seattle|04/18/2013|Active|10|11|2 Years|2 Years|Doctor|Very High|Medium|Low|Medium|Bad|Jacobson|Male|93357|White Collar
Advertising|Group D|Part Time|Married|46|Seattle|05/24/2014|Active|9|18|1 Year|1 Year|College|Medium|Very High|Low|Low|Good|Klein|Female|115813|Other
Legal Department|Group A|Full Time|Married|39|New York City|11/06/2014|Active|11|11|1 Year|2 Years|College|Medium|Very High|Excellent|High|Better|Harrington|Male|97644|Other
Customer Service|Group C|Full Time|Divorced|52|New York City|01/07/2015|Non Active|11|11|2 Years|1 Year|Doctor|Low|High|Low|Medium|Better|Ramos|Male|72847|Other
Public Relations|Group A|Full Time|Married|38|Seattle|02/07/2018|Active|1|13|2 Years|1 Year|Bachelor|High|Low|Excellent|Medium|Good|Morales|Female|89150|Blue Collar
Finances|Group B|Full Time|Divorced|47|Seattle|09/30/2015|Non Active|1|16|2 Years|3 Years|Doctor|Low|Medium|Good|Medium|Bad|Slater|Male|114631|White Collar
Media Relations|Group D|Part Time|Single|43|Seattle|02/15/2018|Non Active|3|14|3 Years|1 Year|Doctor|High|High|Good|High|Good|Everett|Female|108857|Other
Human Resources|Group B|Full Time|Divorced|33|New York City|02/25/2013|Non Active|6|20|2 Years|1 Year|Doctor|Very High|Low|Low|Medium|Best|Hood|Male|114605|White Collar
Human Resources|Group A|Full Time|Divorced|63|Seattle|08/19/2013|Non Active|1|11|1 Year|2 Years|Masters|Very High|Medium|Good|Medium|Best|Glover|Male|103331|Other
Accounting|Group B|Full Time|Married|56|Seattle|10/10/2015|Active|2|17|2 Years|3 Years|Doctor|Very High|Medium|Excellent|High|Better|Hahn|Female|83571|Other
Sales and Marketing|Group B|Part Time|Married|53|Seattle|04/27/2016|Active|11|15|1 Year|3 Years|College|Medium|High|Excellent|Medium|Good|Collins|Male|84461|White Collar
Public Relations|Group D|Full Time|Single|28|Houston|05/15/2018|Non Active|10|7|1 Year|1 Year|Masters|Very High|Very High|Outstanding|Very High|Good|Reid|Male|111032|White Collar
Human Resources|Group B|Full Time|Divorced|28|Houston|11/27/2014|Non Active|11|20|2 Years|2 Years|Bachelor|Very High|Low|Low|Low|Bad|Haley|Female|81212|Other
Public Relations|Group B|Part Time|Single|63|Seattle|09/23/2015|Active|12|7|3 Years|3 Years|College|Low|Very High|Excellent|Medium|Best|Duffy|Male|115148|Other
Human Resources|Group B|Part Time|Married|35|Houston|06/29/2016|Active|5|6|3 Years|1 Year|College|Low|High|Low|Low|Best|Sears|Male|74581|Blue Collar
Finances|Group C|Full Time|Married|27|Houston|06/27/2014|Active|3|12|3 Years|1 Year|Bachelor|High|Low|Outstanding|Very High|Good|Weber|Male|116002|Blue Collar
Public Relations|Group C|Full Time|Divorced|55|New York City|12/22/2014|Active|6|7|2 Years|2 Years|Doctor|Medium|Medium|Outstanding|Very High|Best|Flowers|Female|114432|White Collar
Finances|Group D|Part Time|Married|61|Los Angeles|06/15/2015|Non Active|8|14|2 Years|3 Years|Bachelor|Medium|Very High|Good|Low|Good|Eaton|Male|80519|Blue Collar
Research and Development|Group A|Full Time|Married|44|Seattle|04/03/2013|Active|5|17|1 Year|2 Years|Doctor|Medium|Low|Outstanding|Medium|Best|Henson|Female|111411|Blue Collar
Public Relations|Group B|Full Time|Single|27|Los Angeles|03/26/2015|Non Active|1|8|1 Year|3 Years|Masters|Very High|Very High|Good|Very High|Bad|Coffey|Male|91354|Blue Collar
Accounting|Group C|Part Time|Divorced|34|Los Angeles|01/18/2014|Active|5|18|2 Years|1 Year|Bachelor|Medium|High|Low|High|Best|Buchanan|Female|116291|Blue Collar
Customer Relations|Group A|Part Time|Married|64|Los Angeles|12/13/2018|Active|8|5|2 Years|3 Years|Bachelor|High|Low|Excellent|Low|Good|Fitzpatrick|Male|74487|Blue Collar
Media Relations|Group A|Full Time|Single|35|Houston|05/14/2014|Non Active|9|18|1 Year|3 Years|Masters|Medium|High|Low|Medium|Better|Kirkland|Female|107000|White Collar
Quality Assurance|Group B|Part Time|Single|37|Los Angeles|02/08/2016|Active|8|18|1 Year|2 Years|College|Low|Low|Low|High|Better|Browning|Female|89922|Blue Collar
Tech Support|Group D|Part Time|Single|49|Los Angeles|12/06/2016|Non Active|10|11|2 Years|2 Years|Bachelor|Medium|High|Outstanding|Medium|Bad|Edwards|Female|108925|Other
Payroll|Group C|Part Time|Married|47|Los Angeles|07/12/2015|Non Active|4|10|2 Years|1 Year|Bachelor|High|Medium|Outstanding|High|Bad|Leblanc|Female|115614|Blue Collar
Accounting|Group D|Part Time|Single|25|Seattle|09/27/2015|Non Active|6|5|1 Year|1 Year|College|High|Low|Excellent|Medium|Better|Mendez|Male|99093|Blue Collar
Customer Relations|Group A|Part Time|Divorced|33|Los Angeles|08/24/2015|Active|11|15|1 Year|3 Years|Masters|Low|Low|Low|Low|Bad|Slater|Male|102903|Other
Public Relations|Group C|Part Time|Married|52|Seattle|08/13/2014|Active|4|16|1 Year|3 Years|Doctor|Medium|Low|Good|Low|Better|Boyer|Female|112779|White Collar
Accounting|Group B|Part Time|Married|62|Houston|05/18/2018|Active|3|5|1 Year|2 Years|Masters|Very High|Very High|Outstanding|Very High|Best|Pearson|Male|86743|Blue Collar
Advertising|Group A|Full Time|Single|40|Seattle|02/06/2013|Non Active|4|18|3 Years|3 Years|Bachelor|Very High|Low|Excellent|Low|Good|Crawford|Male|83245|Other
Media Relations|Group C|Part Time|Married|52|Los Angeles|04/06/2016|Non Active|2|20|3 Years|3 Years|College|Low|Very High|Low|Very High|Bad|Curry|Male|82662|Blue Collar
